theme,etf_count
IoT,22
Innovation,21
Biotech,20
Clean Energy,12
AI,11
Cannabis,10
Cybersecurity,9
Defense,9
Robotics,8
Infrastructure,7
Aerospace,7
Gaming,6
Blockchain,6
Cloud Computing,6
Semiconductor,6
Fintech,5
E-Commerce,5
Electric Vehicle,5
Aging Population,4
Genomics,4
Automation,4
Telecom,4
Autonomous Vehicle,3
Esports,3
Nuclear Energy,3
Military,3
Lithium,2
Cryptocurrency,2
Big Data,1
Clean Water,1
Space,1
Battery,1
Healthcare Innovation,1
Wind Energy,1
Water,1
Pet Care,1
Solar,1
Satellite,1
Data Center,1
5G,1
