,symbol,name,themes,category,family,exchange
0,ACES,ALPS Clean Energy ETF,Clean Energy,Energy,ALPS ETF Trust,PCX
3,AGNG,Global X Aging Population ETF,Biotech | IoT | Aging Population,Developed Markets,Global X Funds,NMS
5,AIEQ,AI Powered Equity ETF,AI,Factors,Equbot,PCX
6,AIQ,Global X Artificial Intelligence & Technology ETF,AI | Big Data,Technology,Global X Funds,NMS
8,AQWA,Global X Clean Water ETF,Clean Water,Materials,Global X Funds,NMS
9,ARKF,ARK Fintech Innovation ETF,Innovation | Fintech,Technology,ARK ETF Trust,PCX
10,ARKG,ARK Genomic Revolution ETF,Genomics,Health Care,ARK ETF Trust,BTS
11,ARKK,ARK Innovation ETF,Innovation,Factors,ARK ETF Trust,PCX
12,ARKQ,ARK Autonomous Technology & Robotics ETF,Innovation | Robotics | Autonomous Vehicle,Technology,ARK ETF Trust,BTS
13,ARKX,ARK Space Exploration & Innovation ETF,Innovation | Space,,ARK ETF Trust,BTS
16,BATT,Amplify Lithium & Battery Technology ETF,Battery | Lithium,,Amplify ETFs,PCX
17,BBC,Virtus LifeSci Biotech Clinical Trials ETF,Biotech | IoT,Health Care,Virtus,PCX
18,BBH,VanEck Vectors Biotech ETF,Biotech | IoT,Health Care,VanEck Asset Management,NMS
19,BBP,Virtus LifeSci Biotech Products ETF,Biotech | IoT,Health Care,Virtus,PCX
20,BETZ,Roundhill Sports Betting & iGaming ETF,Gaming,Consumer Discretionary,Roundhill Investments,PCX
21,BITQ,Exchange Traded Concepts Trust - Bitwise Crypto Industry Innovators ETF,Blockchain | Cryptocurrency,,Exchange Traded Concepts,PCX
22,BJK,VanEck Vectors Gaming ETF,Gaming,Consumer Discretionary,VanEck Asset Management,NMS
23,BKKCF,BLOCKCHAIN TECHNOLOGIES ETF UNI,Blockchain,,,PNK
24,BLCN,Siren Nasdaq NexGen Economy ETF,Blockchain,Technology,SRN Advisors,NMS
27,BUG,Global X Cybersecurity ETF,Cybersecurity,,Global X Funds,NGM
28,BUZZ,VanEck Vectors ETF Trust - VanEck Vectors Social Sentiment ETF,AI,Developed Markets,VanEck Asset Management,PCX
33,CIBR,First Trust NASDAQ Cybersecurity ETF,Cybersecurity,Technology,First Trust Advisors,NMS
34,CLIX,ProShares Long Online/Short Stores ETF,E-Commerce,Equities,ProShares,PCX
35,CLOU,Global X Cloud Computing ETF Global X Cloud Computing ETF,Cloud Computing,Technology,Global X Funds,NGM
36,CNBS,Amplify Seymour Cannabis ETF,Cannabis,,Amplify ETFs,PCX
37,CNCR,Loncar Cancer Immunotherapy ETF,Biotech | IoT,Health Care,Loncar Investments,NGM
38,CNRG,SPDR Kensho Clean Power ETF,Innovation,Energy,State Street Global Advisors,PCX
39,CTEC,Global X CleanTech ETF,Clean Energy,,Global X Funds,NMS
40,DAPP,VanEck Vectors ETF Trust - VanEck Vectors Digital Transformation ETF,Cloud Computing | Blockchain | Cryptocurrency,,VanEck Asset Management,NMS
43,DFNV,TrimTabs Donoghue Forlines Risk Managed Innovation ETF,Innovation,Factors,TrimTabs,BTS
44,DRIV,Global X Autonomous & Electric Vehicles ETF,Autonomous Vehicle | Electric Vehicle,Developed Markets,Global X Funds,NMS
47,DTEC,ALPS Disruptive Technologies ETF,AI | Innovation | Cybersecurity | Cloud Computing | Robotics | Clean Energy | Fintech | IoT | Healthcare Innovation,Technology,ALPS ETF Trust,PCX
53,EBIZ,Global X E-commerce ETF,E-Commerce,,Global X Funds,NMS
58,EMLP,First Trust North American Energy Infrastructure Fund,Clean Energy,Energy,First Trust Advisors,PCX
70,ESPO,VanEck Vectors Video Gaming and eSports ETF,Gaming | Esports,Technology,VanEck Asset Management,NGM
75,FAN,First Trust Global Wind Energy ETF,Wind Energy,Developed Markets,First Trust Advisors,PCX
76,FBT,First Trust NYSE Arca Biotechnology Index Fund,Biotech | IoT,Developed Markets,First Trust Advisors,PCX
78,FHC,Focus Morningstar Health Care I,Biotech | IoT,Developed Markets,,PCX
81,FMIL,Fidelity New Millennium ETF,Innovation,Factors,Fidelity Investments,BTS
82,FORH,ETF Opportunities Trust - Formidable ETF,Innovation,Blend,,PCX
84,FTXL,First Trust Nasdaq Semiconductor ETF,Semiconductor,,First Trust Advisors,NGM
86,GAMR,Wedbush ETFMG Video Game Tech ETF,Gaming,Technology,ETF Management,PCX
88,GGRW,Gabelli Growth Innovators ETF,Innovation,Growth,Gabelli,PCX
89,GII,SPDR S&P Global Infrastructure ETF,Infrastructure,Utilities,State Street Global Advisors,PCX
90,GINN,Goldman Sachs Innovate Equity ETF,Innovation,Growth,Goldman Sachs Asset Management,PCX
91,GLIF,AGFiQ Global Infrastructure ETF,Infrastructure,Utilities,AGF Investments,PCX
95,HACK,ETFMG Prime Cyber Security ETF,Cybersecurity | Defense,Technology,ETF Management,PCX
97,HERO,Global X Video Games & Esports ETF,Gaming | Esports,,Global X Funds,NGM
98,HLGE,Hartford Longevity Economy ETF,Aging Population,Health Care,Hartford Mutual Funds,PCX
99,HMLSF,Horizons Marijuana Life Sciences Index ETF,Cannabis,,,PNK
100,HPSYF,Horizons Psychedelic Stock Index ETF,Cannabis,,,PNK
101,HTEC,Robo Global Healthcare Technology and Innovation ETF,Innovation,Health Care,Robo Global,PCX
103,IBB,iShares Nasdaq Biotechnology ETF,Biotech | IoT,Developed Markets,BlackRock Asset Management,NMS
105,IBBQ,Invesco Nasdaq Biotechnology ETF,Biotech | IoT,Developed Markets,Invesco Investment Management,NMS
106,IBUY,Amplify Online Retail ETF,E-Commerce,Consumer Discretionary,Amplify ETFs,PCX
107,ICLN,iShares Global Clean Energy ETF,Clean Energy,Developed Markets,BlackRock Asset Management,NGM
108,IDNA,iShares Genomics Immunology and Healthcare ETF,Innovation | Genomics | Biotech,,BlackRock Asset Management,PCX
118,IGF,iShares Global Infrastructure ETF,Infrastructure,Utilities,BlackRock Asset Management,NGM
119,IHAK,iShares Cybersecurity and Tech ETF,Cybersecurity,,BlackRock Asset Management,PCX
120,IIVPF,iShares IV Public Limited Company - iShares Automation & Robotics UCITS ETF,Robotics | Automation,,BlackRock Asset Management,PNK
121,IMSIF,iShares II Public Limited Company - iShares Global Clean Energy UCITS ETF,Clean Energy,,BlackRock Asset Management,PNK
122,IMSXF,iShares V Public Limited Company - iShares S&P 500 Industrials Sector UCITS ETF,Aerospace | Defense,,BlackRock Asset Management,PNK
123,INFR,Legg Mason Global Infrastructure ETF,Infrastructure,Developed Markets,Legg Mason Global Asset Management,NMS
126,IRBO,iShares Robotics and Artificial Intelligence Multisector ETF,AI | Robotics,Developed Markets,BlackRock Asset Management,PCX
127,ISELF,ISHARES IV PLC ELECTRIC VEHICLE,Electric Vehicle,Developed Markets,BlackRock Asset Management,PNK
128,ITA,iShares U.S. Aerospace & Defense ETF,Aerospace | Defense,Value,BlackRock Asset Management,BTS
129,ITEQ,BlueStar Israel Technology ETF,Clean Energy | Biotech | Defense | Water | IoT,Emerging Markets,Exchange Traded Concepts,PCX
133,IYZ,iShares U.S. Telecommunications ETF,Telecom,Communications,BlackRock Asset Management,BTS
134,IZRL,ARK Israel Innovative Technology ETF,Innovation,Developed Markets,ARK ETF Trust,BTS
135,KARS,KraneShares Electric Vehicles and Future Mobility Index ETF,Electric Vehicle,Growth,KraneShares,PCX
136,KOIN,Capital Link NextGen Protocol ETF,Innovation | Fintech | Blockchain,Technology,Innovation Shares,PCX
137,KOMP,SPDR S&P Kensho New Economies Composite ETF,AI | Innovation | Robotics | Automation,Growth,State Street Global Advisors,PCX
139,KSTR,KraneShares SSE STAR Market 50 Index ETF,Innovation,Emerging Markets,KraneShares,PCX
143,LEGR,First Trust Indxx Innovative Transaction & Process ETF,Blockchain,Growth,First Trust Advisors,NGM
144,LIT,Global X Lithium & Battery Tech ETF,Lithium,Materials,Global X Funds,PCX
145,LNGR,Global X Aging Population ETF,Biotech | IoT | Aging Population,Developed Markets,Global X Funds,NMS
147,LRNZ,"TrueShares Technology, AI and Deep Learning ETF",AI,Technology,TrueShares,PCX
150,MJ,ETFMG Alternative Harvest ETF,Biotech | IoT,Developed Markets,ETF Management,PCX
151,MJJ,MicroSectors Cannabis ETNs,Cannabis,Developed Markets,Microsectors,PCX
152,MJUS,ETFMG U.S. Alternative Harvest ETF,Biotech | IoT | Cannabis,Developed Markets,ETF Management,PCX
153,MRJOF,Purpose Marijuana Opportunities Fund,Cannabis,,,PNK
154,MSOS,AdvisorShares Pure US Cannabis ETF,Biotech | IoT | Cannabis,Developed Markets,AdvisorShares,PCX
155,NERD,Roundhill BITKRAFT Esports & Digital Entertainment ETF,Esports,Consumer Discretionary,Roundhill Investments,PCX
157,NLR,VanEck Vectors Uranium+Nuclear Energy ETF,Nuclear Energy,Developed Markets,VanEck Asset Management,PCX
166,OBOR,KraneShares MSCI One Belt One Road Index ETF,Infrastructure,Emerging Markets,KraneShares,PCX
168,OLD,The Long-Term Care ETF,Biotech | IoT | Aging Population,Developed Markets,AdvisorShares,NMS
169,ONLN,ProShares Online Retail ETF,E-Commerce,Consumer Discretionary,ProShares,PCX
171,PAVE,Global X U.S. Infrastructure Development ETF,Infrastructure,,Global X Funds,BTS
172,PAWZ,ProShares Pet Care ETF,Pet Care,Developed Markets,ProShares,BTS
173,PBD,Invesco Global Clean Energy ETF,Innovation | Clean Energy,Developed Markets,Invesco Investment Management,PCX
174,PBE,Invesco Dynamic Biotechnology & Genome ETF,Genomics | Biotech | IoT,Health Care,Invesco Investment Management,PCX
175,PBW,Invesco WilderHill Clean Energy ETF,Clean Energy,Developed Markets,Invesco Investment Management,PCX
177,PPA,Invesco Aerospace & Defense ETF,Aerospace | Defense | Military,Mid Cap,Invesco Investment Management,PCX
184,PSI,Invesco Dynamic Semiconductors ETF,Semiconductor,Technology,Invesco Investment Management,PCX
185,QCLN,First Trust NASDAQ Clean Edge Green Energy Index Fund,Clean Energy,Developed Markets,First Trust Advisors,NMS
186,QRFT,QRAFT AI-Enhanced U.S. Large Cap ETF,AI,Large Cap,Exchange Traded Concepts,PCX
197,ROBO,Robo Global Robotics and Automation Index ETF,Robotics | Automation,,Robo Global,PCX
198,ROBT,First Trust Nasdaq Artificial Intelligence and Robotics ETF,AI | Robotics,Technology,First Trust Advisors,NGM
199,ROKT,SPDR Kensho Final Frontiers ETF,Innovation,Industrials,State Street Global Advisors,PCX
206,SBIO,ALPS Medical Breakthroughs ETF,Biotech | IoT,Mid Cap,ALPS ETF Trust,PCX
208,SHLD,VictoryShares Protect America ETF,Aerospace | Defense,,Victory Capital,NMS
209,SKYY,First Trust Cloud Computing ETF,Cloud Computing,Technology,First Trust Advisors,NGM
210,SMH,VanEck Vectors Semiconductor ETF,Semiconductor,Technology,VanEck Asset Management,NMS
213,SMOG,VanEck Vectors Low Carbon Energy ETF,Electric Vehicle | Clean Energy,Developed Markets,VanEck Asset Management,PCX
215,SNSR,Global X Internet of Things ETF,Automation | IoT,,Global X Funds,NGM
216,SOXQ,Invesco PHLX Semiconductor ETF,Semiconductor,Technology,Invesco Investment Management,NGM
217,SOXX,iShares PHLX Semiconductor ETF,Semiconductor,Technology,BlackRock Asset Management,NGM
220,SPUS,SP Funds S&P 500 Sharia Industry Exclusions ETF,Aerospace | Defense,Large Cap,SP Funds,PCX
224,SULR,SmartETFs Sustainable Energy II ETF,Clean Energy,,SmartETFs,BTS
230,TAN,Invesco Solar ETF,Solar,Developed Markets,Invesco Investment Management,PCX
231,TDIV,First Trust NASDAQ Technology Dividend Index Fund,Telecom,Growth,First Trust Advisors,NGM
234,TECB,iShares U.S. Tech Breakthrough Multisector ETF,AI | Cybersecurity | Robotics | Genomics | Fintech,Developed Markets,BlackRock Asset Management,PCX
236,THCX,The Cannabis ETF,Innovation | Cannabis,Developed Markets,Exchange Traded Concepts,PCX
237,THNQ,Robo Global Artificial Intelligence ETF,AI,Technology,Robo Global,PCX
238,TMAT,Main Thematic Innovation ETF,Innovation,,Main Management ETFs,BTS
239,TOKE,Cambria Cannabis ETF,Cannabis,Growth,Cambria ETF Trust,BTS
240,TOLZ,ProShares DJ Brookfield Global Infrastructure ETF,Infrastructure,Developed Markets,ProShares,PCX
241,UFO,Procure Space ETF,Satellite,,Procure ETF Trust,NMS
242,URA,Global X Uranium ETF,Nuclear Energy,Developed Markets,Global X Funds,PCX
243,URNM,North Shore Global Uranium Mining ETF,Nuclear Energy,Developed Markets,Exchange Traded Concepts,PCX
246,UZB,United States Cellular Corporation SR NT 120163,Telecom,Corporate Bonds,,NYQ
248,VCLO,Simplify Volt Cloud and Cybersecurity Disruption ETF,Cybersecurity,Technology,Simplify Asset Management,PCX
249,VETS,Pacer Military Times Best Employers ETF,Military,Factors,Pacer,NMS
250,VFIN,Simplify Volt Fintech Disruption ETF,Fintech,Technology,Simplify Asset Management,PCX
251,VICE,AdvisorShares Vice ETF,Gaming,Developed Markets,AdvisorShares,PCX
252,VIRS,Pacer BioThreat Strategy ETF,IoT,Developed Markets,Pacer,BTS
254,VPN,Global X Data Center REITs & Digital Infrastructure ETF,Data Center,REITs,Global X Funds,NGM
256,VROM,Global X/ Auto ETF,Autonomous Vehicle | Electric Vehicle,,Global X Funds,PCX
258,VTRN,VictoryShares Top Veteran Employers ETF,Military,Blend,Victory Capital,NGM
259,WCBR,WisdomTree Cybersecurity Fund,Cybersecurity,,WisdomTree Asset Management,NGM
260,WCLD,WisdomTree Cloud Computing Fund,Cloud Computing,Growth,WisdomTree Asset Management,NMS
261,WFH,Direxion Work From Home ETF,Cybersecurity | Cloud Computing,Technology,Direxion Funds,PCX
263,WUGI,Esoterica NextG Economy ETF,5G,Technology,Esoterica Capital,BTS
265,XAR,SPDR S&P Aerospace & Defense ETF,Aerospace | Defense,Industrials,State Street Global Advisors,PCX
266,XBI,SPDR S&P Biotech ETF,Biotech | IoT,Health Care,State Street Global Advisors,PCX
267,XBUY,Amplify International Online Retail ETF,E-Commerce,,Amplify ETFs,PCX
271,XLI,Industrial Select Sector SPDR Fund,Aerospace | Defense,Industrials,State Street Global Advisors,PCX
272,XLV,Health Care Select Sector SPDR Fund,Biotech | IoT,Health Care,State Street Global Advisors,PCX
273,XSD,SPDR S&P Semiconductor ETF,Semiconductor,Technology,State Street Global Advisors,PCX
274,XTL,SPDR S&P Telecom ETF,Telecom,Developed Markets,State Street Global Advisors,PCX
277,YOLO,AdvisorShares Pure Cannabis ETF,Cannabis,,AdvisorShares,PCX
